,Districts,Confirmed Cases
0,Jaipur,163994
1,Jodhpur,104958
2,Kota,52855
3,Alwar,52015
4,Udaipur,50507
5,Bikaner,36606
6,Ajmer,35109
7,Bhilwara,28123
8,Sikar,26292
9,Pali,24707
10,Chittorgarh,17918
11,Bharatpur,17027
12,Dungarpur,16807
13,Nagaur,16027
14,Ganganagar,15495
15,Rajsamand,15293
16,Churu,14298
17,Barmer,12900
18,Sirohi,12619
19,Hanumangarh,12264
20,Jhalawar,12209
21,Jhunjhunu,11432
22,Dausa,11349
23,Baran,10855
24,Dholpur,10388
25,Jaisalmer,10221
26,Jalore,9875
27,Sawai Madhopur,9828
28,Banswara,8993
29,Tonk,8346
30,Bundi,7118
31,Karauli,6324
32,Pratapgarh,6290
33,Other State,189
34,BSF Camp,85
35,Evacuees,61
36,Italians,2
